household_income,mean,lower,upper
Eat the rich,0.37356000047961413,0.30378865202944233,0.4495897050822613
High Income,0.4780639493691332,0.4068775398949351,0.5489607768636909
Low Income,0.5270821897949647,0.48453276096722364,0.568483366249501
Lower Middle Income,0.5228059139542929,0.4853424750864719,0.5625348716395177
Under Poverty Line,0.5698527852580364,0.5249246282636694,0.6155003154717765
Upper Middle Income,0.46908671091467957,0.42073756447531224,0.519379636748764
