employment,mean,lower,upper
Employed,0.4930813700669769,0.46659964314797003,0.5203809743534787
Not in labour force,0.5159340651311342,0.4801952182682041,0.552101668295604
Unemployed,0.5753587239080638,0.5264608910508841,0.622532236892904
