age,mean,lower,upper
18-24,0.6502063568719075,0.5944046199420484,0.7057808630151031
25-34,0.5600638608910796,0.5090128422067995,0.6090509219521898
35-44,0.49298786512735937,0.4468634551951622,0.5386197773501924
45-54,0.4485107312452856,0.39807344167866693,0.4995177818350134
55-64,0.48652713968900135,0.4389115589426219,0.5354870909083017
65-74,0.5048757970698797,0.45290265096540705,0.5587455482624772
75+,0.44894984400307514,0.3615985393015219,0.5380496279212102
