race_ethnicity,mean,lower,upper
Asian/Pacific Islander,0.6287624810416091,0.5505945545202133,0.7044100972510939
Black,0.868398786537351,0.8327501832801782,0.9002498213893806
Native American,0.42615978230726564,0.29712666389351083,0.5615702995008319
Other/mixed,0.640386716972359,0.5760964489226569,0.7023598415148097
White,0.4449928793435672,0.4195704316400178,0.47038488986867416
